date,open,close,high,low,volume,mv10,mv20,vol10,vol20,rsi5,rsi14,macd.macd1,signal.macd1,macd.macd2,signal.macd2,dn,mavg,up,pctB,Direction,ret,ret_cur,ret_lag1,ret_lag2
2016-1-25,3129.03,3128.89,3149.33,3105.1,81540061,3156.382,3344.3445,50.38852929,243.0104286,49.67341143,33.92153078,-8.164936609,-6.749940095,-6.150047811,-7.472686698,2870.629966,3344.3445,3818.059034,0.272590364,-2,-0.060206655,0.004955901,0.010420757,-0.02930651
2016-1-26,3099.6,2940.51,3106.53,2934.65,126933921,3128.862,3304.9885,80.52497181,241.4020379,12.58704228,25.34597094,-8.336008108,-7.234682748,-5.802827626,-6.85539145,2834.409296,3304.9885,3775.567704,0.112734161,-1,-0.003455183,-0.060206655,0.004955901,0.010420757
2016-1-27,2953.18,2930.35,2963.54,2839.29,132229366,3106.309,3263.4125,101.0770352,229.9045522,14.01904987,31.42988318,-8.007383442,-7.598581602,-5.47992324,-6.343793617,2815.246022,3263.4125,3711.578978,0.128416541,-2,-0.02613681,-0.003455183,-0.060206655,0.004955901
2016-1-28,2909.33,2853.76,2941.89,2841.84,99222756,3069.528,3217.8415,119.6831851,215.0613358,14.73331887,24.34213186,-7.827417881,-7.835051689,-5.781118004,-5.991405216,2798.609778,3217.8415,3637.073222,0.065775345,2,0.032353807,-0.02613681,-0.003455183,-0.060206655
2016-1-29,2855.6,2946.09,2965.31,2854.37,113304259,3052.264,3178.596,124.1648677,186.1647871,28.14385333,36.50496286,-7.370811163,-7.91163131,-5.643830529,-5.771549442,2815.694021,3178.596,3541.497979,0.179657299,-2,-0.01528806,0.032353807,-0.02613681,-0.003455183
2016-2-1,2939.04,2901.05,2944.52,2869.56,86795342,3029.296,3150.128,129.1793326,182.6928775,22.3830303,33.16533984,-7.176826186,-7.877413768,-5.60877889,-5.663295658,2793.994019,3150.128,3506.261981,0.150302957,2,0.020778684,-0.01528806,0.032353807,-0.02613681
2016-2-2,2901.53,2961.33,2972.43,2901.51,88601963,3003.117,3124.2555,110.7469254,169.8918983,53.66033755,39.59636795,-6.616644543,-7.763435519,-5.52272602,-5.607275337,2793.075221,3124.2555,3455.435779,0.254022944,-1,-0.004285237,0.020778684,-0.01528806,0.032353807
2016-2-3,2931.29,2948.64,2954.71,2909.9,77389000,2980.543,3094.697,93.64519743,143.1015554,53.18718851,34.5279532,-6.218611632,-7.569274442,-5.452410088,-5.601772706,2815.740714,3094.697,3373.653286,0.238208086,2,0.012249715,-0.004285237,0.020778684,-0.01528806
2016-2-4,2960.33,2984.76,2999.21,2960.21,91779724,2970.884,3079.216,86.82522422,136.9791886,76.5763207,41.78390511,-5.962362612,-7.297889131,-4.771771219,-5.399903349,2812.194404,3079.216,3346.237596,0.323130411,-1,-0.007025691,0.012249715,-0.004285237,0.020778684
2016-2-5,2982.06,2963.79,2988.36,2962.85,76850808,2955.917,3059.3275,70.96937854,121.8706481,55.05425471,39.87334094,-5.600041302,-7.012900763,-3.996548261,-5.070446896,2821.757871,3059.3275,3296.897129,0.29892737,-1,-0.005762891,-0.007025691,0.012249715,-0.004285237
2016-2-15,2888.43,2946.71,2961.49,2886.02,72919434,2937.699,3047.0405,36.78168187,120.1179982,65.51583526,31.54683223,-5.048048964,-6.647571969,-3.173634501,-4.583418018,2812.887415,3047.0405,3281.193585,0.285758749,2,0.030654527,-0.005762891,-0.007025691,0.012249715
2016-2-16,2962.19,3037.04,3042.09,2962.19,112579643,2947.352,3038.107,48.42515136,113.3677755,71.36407246,41.31353252,-4.743865501,-6.284958865,-2.461255362,-3.971123886,2817.112521,3038.107,3259.101479,0.497585913,1,0.008653162,0.030654527,-0.005762891,-0.007025691
2016-2-17,3034.09,3063.32,3065.78,3027.05,128291607,2960.649,3033.479,60.08916013,110.15053,80.05556138,48.75447298,-4.428454846,-5.907296306,-1.548260029,-3.190293874,2818.756087,3033.479,3248.201913,0.569487228,-1,-0.003140384,0.008653162,0.030654527,-0.005762891
2016-2-18,3079.53,3053.7,3093.51,3049.84,124401464,2980.643,3025.0855,53.47065073,101.0865428,70.98246896,45.73934122,-3.540540295,-5.481710654,-0.838883019,-2.403716234,2828.031551,3025.0855,3222.139449,0.572605751,-1,-0.00069424,-0.003140384,0.008653162,0.030654527
2016-2-19,3047.94,3051.58,3065.97,3032.63,87338012,2991.192,3021.728,56.23100031,98.90412788,80.18290587,44.38145903,-2.917120345,-5.008410004,-0.242037479,-1.652814078,2828.928361,3021.728,3214.527639,0.577417157,2,0.022050872,-0.00069424,-0.003140384,0.008653162
2016-2-22,3083.93,3118.87,3128.21,3071.33,140946968,3012.974,3021.135,59.52484527,98.24957557,93.99918217,65.73116952,-1.897691482,-4.484081887,0.411694848,-0.935748208,2829.611318,3021.135,3212.658682,0.755151215,-1,-0.00946176,0.022050872,-0.00069424,-0.003140384
2016-2-23,3117.2,3089.36,3119.22,3061.43,112567391,3025.777,3014.447,60.93476932,87.77025225,69.40364931,63.56162047,-1.379068002,-3.946354817,1.229559802,-0.197585176,2843.35128,3014.447,3185.54272,0.718921315,1,0.006535334,-0.00946176,0.022050872,-0.00069424
2016-2-24,3077.61,3109.55,3109.55,3055.25,111782650,3041.868,3011.2055,59.53151449,82.59750095,67.95618737,74.13796357,-0.67691485,-3.359082843,2.111074309,0.534281692,2850.193329,3011.2055,3172.217671,0.805394615,-2,-0.061359361,0.006535334,-0.00946176,0.022050872
2016-2-25,3104.41,2918.75,3104.44,2905.46,157829752,3035.267,3003.0755,69.40781033,83.32890656,28.22754993,47.82435702,-0.495588885,-2.791921463,1.824803082,1.067018912,2840.637557,3003.0755,3165.513443,0.240437799,2,0.010031692,-0.061359361,0.006535334,-0.00946176
