date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,token
2016-08-03,3179.68,3197.16,3193.51,3173.54,728641.0,4.46,0.14,3196.888,3218.084,3232.168,845720.08,906336.93,1041509.12,0
2016-08-02,3173.76,3189.05,3189.05,3165.54,621676.38,12.24,0.39,3201.834,3222.494,3233.332,1020369.2,906174.08,1067525.81,0
2016-08-01,3196.43,3199.98,3176.81,3156.75,870035.0,-27.12,-0.85,3217.942,3228.412,3234.249,1058136.1,932893.31,1101555.44,0
2016-07-29,3217.19,3225.42,3203.93,3198.68,880448.38,-17.21,-0.53,3228.758,3236.933,3235.643,1024535.48,956202.32,1124708.95,0
2016-07-28,3204.46,3235.78,3221.14,3195.27,1127799.62,2.9,0.09,3233.004,3244.168,3233.156,1020504.05,970822.51,1116559.67,0
2016-07-27,3270.08,3276.51,3218.24,3157.41,1601886.62,-51.35,-1.57,3239.28,3249.73,3229.795,966953.78,965568.34,1100016.0,0
2016-07-26,3228.23,3269.75,3269.59,3228.01,810510.88,38.7,1.2,3243.154,3256.193,3226.453,791978.96,980575.77,1071783.5,0
2016-07-25,3220.17,3243.79,3230.89,3218.14,702031.88,5.73,0.18,3238.882,3256.552,3219.793,807650.51,1072058.89,1077270.28,0
2016-07-22,3251.24,3253.77,3225.16,3220.89,860291.25,-27.36,-0.84,3245.108,3253.796,3214.276,887869.16,1140385.22,1083802.31,0
2016-07-21,3238.34,3271.37,3252.52,3238.3,860048.25,14.91,0.46,3255.332,3250.508,3206.876,921140.96,1144090.95,1093183.85,0
2016-07-20,3246.86,3254.51,3237.61,3232.26,727012.56,-10.62,-0.33,3260.18,3246.251,3200.116,964182.91,1176681.32,1084057.31,0
2016-07-19,3260.43,3264.73,3248.23,3226.2,888868.62,-13.79,-0.42,3269.232,3244.17,3194.933,1169172.57,1228877.53,1080950.24,0
2016-07-18,3269.71,3281.64,3262.02,3251.77,1103125.12,-14.26,-0.43,3274.222,3240.085,3187.838,1336467.27,1270217.57,1080489.48,0
2016-07-15,3278.84,3285.03,3276.28,3265.29,1026650.25,-0.48,-0.01,3262.484,3234.353,3180.371,1392901.27,1293215.58,1057126.79,0
2016-07-14,3277.48,3281.95,3276.76,3259.07,1075258.0,-6.11,-0.19,3245.684,3222.145,3172.074,1367040.94,1262296.84,1048495.78,0
2016-07-13,3274.02,3300.99,3282.87,3271.78,1751960.88,9.69,0.3,3232.322,3209.861,3162.97,1389179.74,1234463.66,1036220.23,0
2016-07-12,3201.91,3273.47,3273.18,3200.3,1725342.12,69.85,2.18,3219.108,3196.713,3154.645,1288582.48,1162991.24,992318.81,0
2016-07-11,3199.04,3235.96,3203.33,3197.63,1385295.12,11.05,0.35,3205.948,3183.035,3144.785,1203967.86,1082481.66,939191.43,0
2016-07-08,3199.75,3204.93,3192.28,3183.96,897348.56,-17.67,-0.55,3206.222,3174.756,3137.936,1193529.89,1027219.41,916414.65,0
2016-07-07,3206.55,3220.54,3209.95,3190.12,1185952.0,-6.85,-0.21,3198.606,3163.244,3136.521,1157552.74,1042276.76,909693.11,0
2016-07-06,3197.62,3217.52,3216.8,3183.45,1248974.62,9.42,0.29,3187.4,3153.981,3134.876,1079747.57,991433.29,884859.67,0
2016-07-05,3199.16,3216.7,3207.38,3198.0,1302269.0,2.68,0.08,3174.318,3145.697,3132.976,1037399.99,933022.94,860757.81,0
2016-07-04,3136.39,3210.6,3204.7,3134.02,1333105.25,50.5,1.6,3160.122,3135.591,3132.073,960995.46,890761.39,846390.25,0
2016-07-01,3156.93,3170.26,3154.2,3148.29,717462.81,0.28,0.01,3143.29,3126.388,3130.193,860908.93,821038.01,822736.7,0
2016-06-30,3152.83,3163.72,3153.92,3148.2,796926.19,2.53,0.08,3127.882,3122.004,3130.511,927000.78,834694.71,843437.8,0
2016-06-29,3142.48,3158.08,3151.39,3139.13,1037236.69,14.99,0.48,3120.562,3116.079,3131.293,903119.01,837976.8,873023.05,0
2016-06-28,3107.4,3139.43,3136.4,3099.7,920246.38,15.86,0.51,3117.076,3112.577,3127.059,828645.9,821646.38,852710.51,0
2016-06-27,3065.13,3120.64,3120.54,3064.97,832672.56,43.38,1.41,3111.06,3106.535,3123.364,820527.31,795901.2,836932.56,0
2016-06-24,3110.65,3130.54,3077.16,3033.97,1047922.06,-40.16,-1.29,3109.486,3101.115,3120.547,781167.09,805609.89,825495.42,0
2016-06-23,3129.72,3129.72,3117.32,3102.48,677517.38,-16.64,-0.53,3116.126,3109.798,3119.651,742388.65,777109.46,801425.72,0
2016-06-22,3100.45,3134.06,3133.96,3096.99,664871.12,27.64,0.89,3111.596,3115.771,3116.963,772834.58,778286.04,796917.05,0
2016-06-21,3124.9,3155.49,3106.32,3097.94,879653.44,-6.35,-0.2,3108.078,3120.254,3114.625,814646.86,788492.68,793522.1,0
2016-06-20,3114.91,3118.73,3112.67,3089.71,635871.44,2.31,0.07,3102.01,3128.555,3113.221,771275.09,802019.11,777579.85,0
2016-06-17,3096.09,3131.05,3110.36,3096.09,854029.88,15.69,0.51,3092.744,3133.998,3110.712,830052.7,824435.39,776008.36,0
2016-06-16,3104.36,3112.48,3094.67,3089.48,829747.0,-21.7,-0.7,3103.47,3139.017,3108.596,811830.27,852180.89,774664.55,0
2016-06-15,3043.96,3128.67,3116.37,3042.23,873932.56,40.39,1.31,3119.946,3146.506,3108.163,783737.5,908069.31,765816.27,0
2016-06-14,3058.44,3078.75,3075.98,3055.66,662794.56,9.64,0.31,3132.43,3141.54,3107.111,762338.49,883774.63,751850.57,0
2016-06-13,3134.05,3145.61,3066.34,3065.77,929759.5,-97.65,-3.09,3155.1,3140.192,3107.059,832763.14,877963.92,750025.72,0
2016-06-08,3171.81,3174.97,3163.99,3148.35,762917.75,-13.06,-0.41,3175.252,3139.979,3108.249,818818.09,845380.96,742920.6,0
2016-06-07,3182.44,3186.62,3177.05,3168.18,689283.12,-1.74,-0.06,3174.564,3129.503,3104.189,892531.51,825741.98,745671.84,0
2016-06-06,3192.78,3197.22,3178.79,3168.55,766937.5,-10.54,-0.33,3173.066,3118.154,3098.793,1032401.11,815548.06,745632.66,0
2016-06-03,3172.95,3201.75,3189.33,3162.09,1014917.81,22.23,0.7,3150.65,3108.997,3093.134,1005210.77,798551.53,756901.02,0
2016-06-02,3158.03,3168.82,3167.1,3151.07,860034.25,6.55,0.21,3125.284,3097.886,3090.185,923164.71,753140.59,760495.25,0
2016-06-01,3172.96,3181.79,3160.55,3159.82,1131484.88,-9.01,-0.28,3104.706,3087.426,3092.526,871943.82,727581.33,754860.38,0
2016-05-31,3068.6,3170.93,3169.56,3068.6,1388631.12,102.85,3.35,3084.442,3078.175,3094.972,758952.45,697148.21,743717.33,0
2016-05-30,3056.31,3075.26,3066.71,3037.66,630985.81,4.21,0.14,3063.242,3069.821,3097.171,598695.0,623563.23,723368.2,0
2016-05-27,3059.73,3073.76,3062.5,3052.18,604687.5,-1.71,-0.06,3067.344,3072.681,3101.672,591892.28,619926.5,720833.79,0
2016-05-26,3056.6,3072.52,3064.21,3027.44,603929.81,4.98,0.16,3070.488,3073.925,3106.577,583116.46,622087.51,725534.75,0
2016-05-25,3079.75,3089.1,3059.23,3054.87,566528.0,-4.33,-0.14,3070.146,3076.518,3111.662,583218.84,640460.25,725340.34,0
