open,high,close,low,volume,Adj Close
2017-05-10,3350.65,3369.43,3337.7,3336.0,920826.25,3337.7
2017-05-09,3342.6,3358.05,3352.53,3327.59,767716.69,3352.53
2017-05-08,3369.11,3374.16,3358.81,3339.57,1237492.88,3358.81
2017-05-05,3393.48,3395.45,3382.55,3366.56,1098953.38,3382.55
2017-05-04,3404.94,3421.4,3404.39,3391.28,1034820.75,3404.39
2017-05-03,3421.76,3432.22,3413.13,3403.08,916696.25,3413.13
2017-05-02,3427.92,3436.31,3426.58,3418.67,927974.62,3426.58
2017-04-28,3439.57,3439.9,3439.75,3417.24,1016323.5,3439.75
2017-04-27,3435.1,3449.27,3446.72,3399.54,1232984.25,3446.72
2017-04-26,3440.25,3466.57,3445.18,3439.15,1119400.25,3445.18
2017-04-25,3427.73,3449.67,3440.97,3422.65,940721.5,3440.97
2017-04-24,3458.23,3458.23,3431.26,3403.98,1146607.88,3431.26
2017-04-21,3461.39,3475.56,3466.79,3449.54,1044191.12,3466.79
2017-04-20,3444.52,3465.61,3461.55,3440.72,1141842.12,3461.55
2017-04-19,3452.99,3459.35,3445.88,3418.51,1213492.62,3445.88
2017-04-18,3474.89,3489.08,3462.74,3462.63,1109278.25,3462.74
2017-04-17,3475.74,3480.57,3479.94,3453.68,1171649.62,3479.94
2017-04-14,3516.81,3517.47,3486.5,3476.95,1354740.75,3486.5
2017-04-13,3500.28,3518.44,3514.57,3496.57,1299818.12,3514.57
2017-04-12,3514.57,3523.1,3509.44,3498.0,1818245.38,3509.44
2017-04-11,3503.83,3520.13,3517.33,3466.14,1659458.38,3517.33
2017-04-10,3519.46,3522.8,3505.14,3502.08,1418873.75,3505.14
2017-04-07,3514.45,3526.82,3517.46,3506.39,1402932.0,3517.46
2017-04-06,3507.99,3517.78,3514.05,3495.72,1367670.0,3514.05
2017-04-05,3476.42,3504.54,3503.89,3475.15,1433990.12,3503.89
2017-03-31,3434.82,3456.31,3456.05,3430.82,915774.94,3456.05
2017-03-30,3461.62,3467.3,3436.76,3422.37,1163769.25,3436.76
2017-03-29,3472.97,3483.06,3465.19,3455.55,1048517.06,3465.19
2017-03-28,3480.25,3482.29,3469.81,3461.47,841948.19,3469.81
2017-03-27,3488.76,3505.98,3478.04,3474.52,1070153.75,3478.04
2017-03-24,3464.2,3499.32,3489.6,3461.11,1256458.38,3489.6
2017-03-23,3452.41,3470.82,3461.98,3435.69,943180.62,3461.98
2017-03-22,3450.75,3464.33,3450.05,3433.5,1049359.0,3450.05
2017-03-21,3449.77,3466.7,3466.35,3445.64,877078.56,3466.35
2017-03-20,3449.05,3454.06,3449.61,3429.83,887343.25,3449.61
2017-03-17,3485.31,3488.5,3445.81,3441.47,1037555.62,3445.81
2017-03-16,3472.27,3492.13,3481.51,3472.27,1063339.12,3481.51
2017-03-15,3452.21,3463.92,3463.64,3445.27,791049.56,3463.64
2017-03-14,3456.66,3465.39,3456.69,3448.9,770779.62,3456.69
2017-03-13,3425.67,3458.1,3458.1,3412.69,916841.25,3458.1
2017-03-10,3423.98,3436.24,3427.89,3423.94,700162.0,3427.89
2017-03-09,3442.9,3443.05,3426.94,3414.68,845703.81,3426.94
2017-03-08,3452.2,3457.04,3448.73,3441.26,795876.88,3448.73
2017-03-07,3446.16,3454.04,3453.96,3440.06,803347.19,3453.96
2017-03-06,3427.25,3449.03,3446.48,3425.9,830708.81,3446.48
2017-03-03,3424.66,3428.88,3427.86,3412.83,809946.5,3427.86
2017-03-02,3463.48,3468.47,3435.1,3434.0,898980.75,3435.1
2017-03-01,3452.21,3472.7,3458.44,3449.11,1032603.56,3458.44
2017-02-28,3445.03,3460.91,3452.81,3441.36,752152.62,3452.81
2017-02-27,3471.13,3472.84,3446.22,3441.39,986721.62,3446.22
2017-02-24,3468.96,3473.85,3473.85,3455.25,955351.31,3473.85
2017-02-23,3487.57,3492.96,3473.32,3460.12,995363.31,3473.32
2017-02-22,3483.2,3489.95,3489.76,3473.52,1028159.94,3489.76
2017-02-21,3475.06,3490.09,3482.82,3472.02,1148420.12,3482.82
2017-02-20,3421.64,3472.6,3471.39,3421.64,1326288.62,3471.39
2017-02-17,3443.62,3457.56,3421.44,3419.61,1146000.38,3421.44
2017-02-16,3421.83,3440.93,3440.93,3418.35,1082769.62,3440.93
2017-02-15,3435.39,3448.03,3421.71,3417.08,1276433.38,3421.71
2017-02-14,3438.51,3440.67,3435.8,3424.4,948094.62,3435.8
2017-02-13,3416.92,3439.54,3436.28,3416.87,1201445.38,3436.28
2017-02-10,3398.32,3422.33,3413.49,3398.03,1237687.25,3413.49
2017-02-09,3381.9,3406.59,3396.29,3379.79,975585.12,3396.29
2017-02-08,3361.78,3383.69,3383.29,3347.43,754028.81,3383.29
2017-02-07,3371.77,3376.71,3365.68,3354.63,637544.62,3365.68
2017-02-06,3368.11,3381.33,3373.21,3358.75,685213.62,3373.21
2017-02-03,3390.93,3392.48,3364.49,3362.57,551888.62,3364.49
2017-01-26,3378.26,3395.88,3387.96,3378.26,653166.5,3387.96
2017-01-25,3361.66,3376.44,3375.9,3357.22,583769.31,3375.9
2017-01-24,3363.14,3371.32,3364.45,3355.9,661942.25,3364.45
2017-01-23,3359.05,3378.74,3364.08,3355.85,755575.0,3364.08
2017-01-20,3326.98,3358.41,3354.89,3326.37,653004.62,3354.89
2017-01-19,3330.95,3346.5,3329.29,3324.68,661598.06,3329.29
2017-01-18,3323.34,3350.96,3339.37,3320.41,706232.25,3339.37
2017-01-17,3305.6,3327.38,3326.36,3292.2,694533.25,3326.36
2017-01-16,3314.15,3322.78,3319.45,3264.21,1577791.38,3319.45
2017-01-13,3317.96,3338.17,3319.91,3309.37,841805.88,3319.91
2017-01-12,3332.69,3343.13,3317.62,3315.96,812391.38,3317.62
2017-01-11,3355.8,3366.63,3334.5,3334.3,910714.38,3334.5
2017-01-10,3361.64,3370.51,3358.27,3354.09,838191.62,3358.27
2017-01-09,3345.75,3366.22,3363.9,3344.35,837079.44,3363.9
2017-01-06,3366.85,3368.87,3347.67,3346.89,874591.12,3347.67
2017-01-05,3368.34,3373.41,3367.79,3361.46,883363.56,3367.79
2017-01-04,3340.56,3369.57,3368.31,3338.15,900508.25,3368.31
2017-01-03,3313.95,3345.26,3342.23,3313.95,865678.94,3342.23
